,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,0,12.8,12.4,18.7,4.08,8.94,10.3,4.01,3.45,8.44
en,6.69,0,10.4,14.8,3.72,8.12,6.49,3.64,3.6,10.7
gu,11.4,17.7,0,41.2,5.44,14.9,12.3,5.23,4.68,9.9
hi,11.8,18.9,31.1,0,6.52,15.6,13.1,5.36,5.12,10.1
ml,7.18,13.2,10.4,17.0,0,8.28,8.65,4.51,3.97,4.22
mr,9.65,14.7,16.8,23.7,5.48,0,10.5,4.54,4.01,3.69
or,11.8,13.2,15.6,24.0,3.99,11.0,0,4.18,3.46,10.4
ta,6.56,11.6,8.84,14.9,4.39,6.91,7.5,0,3.02,5.75
te,6.45,8.03,9.08,14.5,4.68,7.35,7.29,3.93,0,2.18
ur,7.04,15.6,21.8,41.0,4.45,10.3,7.44,2.76,3.73,0
