,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,22.85,25.59,31.23,7.51,17.77,23.89,6.92,12.54,25.96
en,15.34,,24.84,29.73,5.62,16.54,22.26,5.5,10.43,24.39
gu,23.01,30.25,,54.17,7.86,27.95,40.69,8.86,16.42,44.77
hi,23.74,30.84,52.5,,9.26,31.49,53.1,8.98,17.64,59.16
ml,14.39,17.11,19.53,23.84,,12.81,17.93,6.82,10.29,20.17
mr,20.39,27.8,36.06,42.94,7.92,,31.7,7.27,14.9,35.04
pa,22.96,31.9,47.99,68.87,8.98,29.6,,9.09,16.37,54.27
ta,11.12,14.55,16.32,20.01,5.16,10.7,15.81,,8.07,16.96
te,15.7,20.88,24.87,29.39,6.93,16.32,22.57,6.58,,24.24
ur,19.35,27.34,40.96,56.17,7.35,24.13,41.18,8.18,14.04,
