,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,17.6,23.9,27.0,6.86,16.7,21.0,5.99,11.2,23.8
en,12.2,,20.0,22.2,4.62,13.0,18.7,4.69,8.08,20.0
gu,19.4,23.5,,47.7,7.94,24.4,38.0,7.53,14.1,41.5
hi,20.7,25.3,47.0,,8.71,27.4,50.2,8.13,15.8,54.5
ml,13.0,15.0,18.3,21.2,,12.5,17.0,5.85,9.62,18.9
mr,17.4,21.3,32.9,38.2,7.32,,29.0,6.83,12.4,32.0
pa,19.6,24.8,43.9,61.9,8.11,25.6,,7.42,14.0,50.7
ta,10.1,11.9,15.6,17.1,5.45,10.0,14.4,,7.27,16.4
te,14.2,16.2,22.3,24.8,6.17,13.7,19.8,6.13,,22.3
ur,16.7,22.2,39.4,50.1,7.08,22.0,39.1,7.55,12.8,
