,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,0.0,10.8,8.92,16.2,2.76,5.13,0.41,1.82,3.51,14.10
en,4.63,0.0,7.23,13.8,2.51,4.8,0.76,2.44,2.94,8.08
gu,7.02,14.6,0.0,37.3,3.61,9.73,0.5,2.26,4.55,29.52
hi,7.62,17.8,24.3,0.0,4.02,10.4,0.7,2.81,4.82,41.22
ml,4.24,11.2,7.36,14.5,0.0,4.72,0.31,2.43,4.25,12.31
mr,5.08,11.5,12.7,19.5,3.33,0.0,0.53,2.11,3.59,17.94
or,3.19,3.12,4.89,8.41,1.15,3.11,0.0,1.38,1.46,8.89
ta,3.23,9.7,5.61,11.1,2.95,3.68,0.49,0.0,3.41,10.14
te,3.58,7.19,6.13,11.4,3.22,4.14,0.3,2.18,0.0,10.65
ur,6.06,15.1,18.4,39.6,3.27,7.7,0.41,1.95,3.89,0.0
