,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,0.0,14.9,12.5,18.6,4.82,8.27,0.08,3.7,3.56,17.7
en,7.39,0.0,11.0,15.9,4.61,8.0,0.23,4.04,3.79,17.5
gu,10.9,19.8,0.0,40.1,6.08,13.8,0.0,4.8,4.72,33.3
hi,11.1,20.2,30.1,0.0,6.51,14.8,0.28,5.55,5.43,38.1
ml,7.24,15.1,10.5,16.9,0.0,7.91,0.0,4.49,4.19,16.0
mr,9.02,16.1,16.2,22.8,5.09,0.0,0.2,4.34,4.01,20.7
or,7.14,11.6,9.57,14.5,3.48,5.58,0.0,3.45,1.59,8.23
ta,6.31,13.6,8.85,14.5,4.51,6.6,0.12,0.0,2.99,12.9
te,6.14,10.2,8.84,14.2,4.7,6.86,0.0,3.75,0.0,12.5
ur,9.98,21.1,23.1,42.4,5.54,12.0,0.0,3.76,4.34,0.0
