,bn,en,gu,hi,ml,mr,or,ta,te,ur
bn,,15.6,13.1,19.8,5.24,9.71,10.9,4.22,3.69,18.8
en,7.67,,11.6,16.3,5.18,9.22,8.67,4.29,4.3,17.5
gu,11.7,20.6,,42.6,6.61,15.6,14.2,5.5,5.13,35.1
hi,12.6,20.7,33.3,,7.36,16.7,15.2,5.41,5.77,42.0
ml,7.99,15.4,11.4,18.1,,9.5,10.1,4.73,4.66,16.3
mr,10.0,17.0,17.8,24.9,6.35,,11.5,4.81,4.42,22.9
or,11.6,17.5,17.3,25.3,5.08,12.4,,4.67,3.89,20.7
ta,7.14,14.2,9.9,15.8,5.41,8.15,8.54,,3.83,14.7
te,6.86,10.6,9.54,15.2,5.32,7.77,8.53,4.47,,10.8
ur,10.0,21.0,25.0,45.2,5.59,12.9,10.1,4.74,5.44,
