,en,hi,ta,te,ml,ur,bn,gu,mr,or,pa
en,0,195208,87113,5752,31974,45344,48354,29421,80760,58461,27117
hi,0,0,44031,3083,17819,11695,24849,19730,45950,36317,11442
ta,0,0,0,3218,15029,4964,19175,16934,33636,27668,9150
te,0,0,0,0,2543,415,1883,2625,2627,1834,1220
ml,0,0,0,0,0,2378,9940,10132,14474,9843,4961
ur,0,0,0,0,0,0,3795,2397,4941,3209,5584
bn,0,0,0,0,0,0,0,10554,19914,14606,5332
gu,0,0,0,0,0,0,0,0,17169,13682,5581
mr,0,0,0,0,0,0,0,0,0,31377,9601
or,0,0,0,0,0,0,0,0,0,0,6813
pa,0,0,0,0,0,0,0,0,0,0,0
