,en,hi,ta,te,ml,ur,bn,gu,mr,or,pa
en,0,196257,87450,5757,32375,45355,48896,29507,81039,58516,27117
hi,0,0,44307,3088,18246,11733,25297,19872,46233,36793,11456
ta,0,0,0,3234,15153,4999,19374,16989,33738,27805,9185
te,0,0,0,0,2555,452,1890,2643,2634,1843,1227
ml,0,0,0,0,0,2421,10156,10201,14627,10065,4981
ur,0,0,0,0,0,0,3831,2418,4979,3224,5595
bn,0,0,0,0,0,0,0,10629,20103,14893,5364
gu,0,0,0,0,0,0,0,0,17229,13719,5619
mr,0,0,0,0,0,0,0,0,0,31516,9635
or,0,0,0,0,0,0,0,0,0,0,6845
pa,0,0,0,0,0,0,0,0,0,0,0
