,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,,18.1,23.1,29.2,7.24,15.9,20.9,6.29,11.2,26.7
en,11.7,,19.7,24.3,5.14,13.7,18.2,4.6,8.21,21.7
gu,20.6,23.7,,54.7,8.02,26.0,40.1,8.16,14.2,45.7
hi,22.0,26.1,51.3,,8.63,29.4,54.1,8.12,15.8,62.1
ml,13.8,14.9,19.0,23.9,,12.4,17.1,5.5,9.34,21.0
mr,18.5,22.1,35.3,43.9,7.83,,30.6,7.4,12.5,36.2
pa,20.7,25.3,47.9,72.0,8.41,27.2,,8.55,15.2,57.9
ta,10.5,12.1,15.5,18.9,5.46,10.2,15.0,,8.17,17.0
te,13.8,17.0,23.1,28.0,6.14,14.7,20.0,5.85,,24.1
ur,17.3,22.5,41.4,58.0,7.13,21.9,40.6,7.11,13.0,
