,bn,en,gu,hi,ml,mr,pa,ta,te,ur
bn,0,18.34,31.24,36.16,8.62,19.79,31.84,8.88,13.18,24.91
en,14.85,0,17.36,26.53,4.85,10.17,22.86,4.17,6.43,18.07
gu,29.35,19.58,0,53.09,7.97,26.99,47.60,9.95,16.57,34.77
hi,36.31,28.15,53.29,0,10.95,33.78,70.06,11.36,21.59,50.30
ml,10.01,8.36,10.99,14.50,0,7.01,12.53,4.67,6.25,10.27
mr,23.68,15.87,33.84,41.66,7.25,0,34.75,8.34,12.02,25.08
pa,30.27,24.01,46.24,71.26,7.49,25.54,0,8.96,17.92,44.46
ta,14.77,10.90,17.28,21.79,6.41,11.10,19.32,0,9.30,15.65
te,16.87,12.09,22.22,27.20,6.58,13.47,25.14,7.29,0,19.03
ur,26.14,21.00,38.92,58.09,7.49,21.21,51.90,8.13,14.65,0
